心率,心率分段
56,1
61,2
62,2
64,2
65,2
66,2
69,3
70,3
72,3
72,3
72,3
73,3
73,3
75,3
76,3
78,4
78,4
78,4
78,4
80,4
80,4
80,4
82,4
82,4
83,4
83,4
83,4
83,4
83,4
83,4
84,4
84,4
85,5
85,5
86,5
86,5
87,5
88,5
88,5
88,5
88,5
89,5
89,5
89,5
89,5
90,5
90,5
90,5
91,5
92,5
92,5
92,5
92,5
93,6
93,6
93,6
93,6
93,6
95,6
95,6
96,6
96,6
96,6
96,6
96,6
96,6
96,6
96,6
97,6
97,6
97,6
97,6
97,6
97,6
97,6
98,6
98,6
98,6
99,6
99,6
99,6
99,6
100,6
100,6
100,6
100,6
100,6
100,6
100,6
101,7
101,7
101,7
102,7
102,7
103,7
103,7
104,7
104,7
104,7
104,7
104,7
104,7
105,7
105,7
105,7
105,7
105,7
106,7
107,7
108,7
109,8
110,8
110,8
110,8
110,8
110,8
110,8
111,8
112,8
112,8
112,8
113,8
114,8
114,8
114,8
115,8
117,9
117,9
117,9
118,9
119,9
119,9
120,9
121,9
124,9
125,10
127,10
128,10
131,10
136,11
